AEX,AEY,AEZ,AAX,AAY,AAZ,ABX,ABY,ABZ,REAX,REAY,REAZ,REBX,REBY,REBZ,READ,REBD,AEVX,AEVY,AEVZ,AAVX,AAVY,AAVZ,AABX,AABY,AABZ,Ea,Aa,Ba
2.107164921807748,-0.08568427976861293,-0.05607248814418879,1.4837143688679877,-0.14981732442280632,0.00021246685506736728,2.491836546167338,0.15000065778298144,-7.987429464719182e-05,0.6234505529397603,0.0641330446541934,-0.056284954999256155,-0.38467162435959024,-0.23568493755159436,-0.0559926138495416,0.6267404880630496,0.45113152004281926,0.05,0.0,0.048917630441891374,0.15,0.0,-0.0009137042573397274,0.05,0.0,0.00011761883203264226,3,5,3
2.13524300130188,-0.08499734316960465,0.07524119882531298,1.5185764536061794,-0.14980690432025273,0.0003711704698750601,2.503426071230303,0.15000505632814712,-2.1309544238651937e-06,0.6166665476957005,0.06480956115064808,0.07487002835543792,-0.3681830699284232,-0.23500239949775176,0.07524332977973684,0.6200628276743199,0.4367893093376017,0.15,0.0,0.6,0.15,0.0,-0.0011328323861609791,0.05,0.0,4.750115337958543e-06,5,5,3
2.15648415505107,-0.08274530472760917,0.09524041722567797,1.5485427250037191,-0.14979069108813114,0.0003939515200954057,2.5133930659478803,0.1500092551793023,6.262388344214383e-05,0.6079414300473509,0.06704538636052197,0.09484646570558257,-0.3569089108968102,-0.23275455990691146,0.09517779334223582,0.6116272281383897,0.4260970028467781,0.05,0.0,-0.6,0.15,0.0,-0.0013292334377523526,0.05,0.0,-0.00012478642282779095,7,5,3
2.165691906942665,-0.08230121932333925,-0.004784292640737253,1.5786739885429362,-0.14978459514822248,5.326600988903702e-05,2.5234197180684474,0.15001364432855746,0.00011855416149350457,0.5870179183997286,0.06748337582488323,-0.00483755865062629,-0.35772781112578267,-0.2323148636518967,-0.004902846802230757,0.5908841193796571,0.4265435296970791,0.05,0.0,-0.6,0.15,0.0,-0.0009564192133361913,0.05,0.0,-0.00021381255396814286,7,5,3
2.1845428387306005,-0.08332313812607503,-0.0658345985701461,1.6085306661329069,-0.1497847716593287,4.5267655762014655e-05,2.533510971749309,0.1500178085122881,3.65057375847477e-05,0.5760121725976937,0.06646163353325368,-0.06587986622590812,-0.34896813301870866,-0.23334094663836313,-0.06587110430773085,0.5798337448895362,0.4197937055753106,0.2,0.0,-0.6,0.15,0.0,-0.0007758031604208563,0.05,0.0,-0.00011412031393442461,4,5,3
2.208915009976286,-0.08503707119476749,-0.07903534858129475,1.6333255617398328,-0.14977947533170682,0.0001264700645302733,2.5436609589743617,0.1500177850690768,-0.00011977048388769586,0.5755894482364534,0.06474240413693934,-0.07916181864582503,-0.3347459489980755,-0.23505485626384426,-0.07891557809740705,0.5792191224524408,0.40903011603528494,0.1,0.0,-0.1199494325616493,0.15,0.0,-0.0009247871920398032,0.05,0.0,8.975887761890809e-05,2,5,3
2.223115327677804,-0.08610645395669786,-0.05427266549297955,1.6684874322176355,-0.14977271290456667,-2.653253537349335e-05,2.5538029472008907,0.15001452581748304,-0.0001738135711118442,0.5546278954601684,0.06366625894786881,-0.05424613295760606,-0.3306876195230868,-0.2361209797741809,-0.054098851921867704,0.5582700913993088,0.4063341221154888,0.1,0.0,0.6,0.15,0.0,-0.0008065396794437765,0.05,0.0,0.00019793193331284334,2,5,3
2.2439732120222504,-0.08632437422998095,0.029070067914482012,1.6985161397017217,-0.14978210691086496,-0.0002279266003751948,2.5638508022870585,0.15000966065540897,-0.0002468248312381034,0.5454570723205288,0.06345773268088402,0.029297994514857206,-0.3198775902648081,-0.2363340348853899,0.029316892745720115,0.5491359591043743,0.39771277173209957,0.15,0.0,0.6,0.15,0.0,-0.0005212798738971616,0.05,0.0,0.00023746357201748962,5,5,3
2.269303099279143,-0.08448861258473507,0.08885229992203098,1.7232506383346666,-0.14978185099310806,-0.0002165239358854243,2.5716246289957567,0.15000314779429585,-0.0003450576547249004,0.5460524609444763,0.06529323840837299,0.0890688238579164,-0.30232152971661375,-0.2344917603790309,0.08919735757675587,0.5499422670475252,0.38260252614933193,0.0,0.0,-0.6,0.15,0.0,-0.0003985227931579367,0.05,0.0,0.0005070938344348683,8,5,3
2.284713029286486,-0.08371110412260199,-0.0007404073105585491,1.753205492995272,-0.14978586033686794,-0.0002760187211457645,2.581471864279287,0.1500002334469982,-0.0003116786074515506,0.5315075362912141,0.06607475621426595,-0.0004643885894127846,-0.29675883499280076,-0.2337113375696002,-0.00042872870310699853,0.5355988559949796,0.37773905735951635,0.05,0.0,-0.6,0.15,0.0,-0.00032379680130027716,0.05,0.0,0.00046673975451664413,7,5,3
2.3037835091063,-0.08501534960531314,-0.12531292058021387,1.7833285731206814,-0.14979628211846047,-0.0004490081961229561,2.5913018587997985,0.14999991066432602,-0.0001233362722486224,0.5204549359856185,0.06478093251314733,-0.12486391238409092,-0.28751834969349854,-0.23501526026963915,-0.12518958430796526,0.5244710760462079,0.3713475110594915,0.2,0.0,-0.6,0.15,0.0,-7.090798780046842e-05,0.05,0.0,0.00018530219395283197,4,5,3
2.334368575811155,-0.09139414588683475,-0.26480294364465456,1.8182801037124603,-0.14981859006191434,-0.0007101969499873014,2.602865682921734,0.15000416210069856,-1.774173050577721e-05,0.5160884720986949,0.05842444417507958,-0.26409274669466726,-0.2684971071105786,-0.2413983079875333,-0.2647852019141488,0.5193849504080112,0.36105932978666194,0.2,0.0,-0.025350389640726195,0.15,0.0,0.00044114481142921557,0.05,0.0,3.0283289573833412e-05,4,5,3
2.363468412651821,-0.10011541690877189,-0.34343871502154955,1.8481847607094097,-0.14983199564890656,-0.000628725021953162,2.612811048510343,0.15000822959646723,4.512836202733266e-05,0.5152836519424111,0.04971657874013467,-0.3428099899995964,-0.24934263585852223,-0.2501236465052391,-0.3434838433835769,0.5176765207740562,0.3531764270134028,0.0,0.0,0.6,0.15,0.0,0.00034580046067827716,0.05,0.0,-7.527317440821053e-05,8,5,3
2.464994752347248,-0.11092384675946029,0.2196358271059288,2.0130907496645505,-0.1500394302931901,-0.0021666088364338983,2.668246350230386,0.15000617649363143,-0.0003392266397106743,0.4519040026826975,0.03911558353372982,0.2218024359423627,-0.20325159788313796,-0.2609300232530917,0.21997505374563947,0.45359371304706997,0.3307501913482558,0.1,0.0,0.6,0.15,0.0,0.0007761611446613085,0.05,0.0,-0.00019017365596622196,6,5,3
