AEX,AEY,AEZ,AAX,AAY,AAZ,ABX,ABY,ABZ,REAX,REAY,REAZ,REBX,REBY,REBZ,READ,REBD,AEVX,AEVY,AEVZ,AAVX,AAVY,AAVZ,AABX,AABY,AABZ,Ea,Aa,Ba
1.0070602078925077,0.15001190858233182,2.1673602352744307e-05,-8.3957760312987e-06,-0.14998753578616508,3.0210964179885316e-05,1.999991602243709,0.15001246420583014,3.0215625294989745e-05,1.007068603668539,0.2999994443684969,-8.53736182714101e-06,-0.9929313943512013,-5.556234983217223e-07,-8.542022942245438e-06,1.0508029497086062,0.9929313943513567,0.1,0.0,-1.545293207727019e-05,0.15,0.0,-4.6880267710455785e-05,0.05,0.0,-6.653757167636573e-05,2,5,3
1.0271903853348354,0.15001148418191876,-0.00013486763603212272,0.010825924640822108,-0.14998390118753369,8.615192131789362e-05,2.0067859401637587,0.15001670938645145,9.403449431618613e-05,1.0163644606940132,0.29999538536945247,-0.00022101955735001632,-0.9795955548289232,-5.225204532693928e-06,-0.00022890213034830885,1.0597140879524054,0.979595554842859,0.1,0.0,-7.220567794768886e-05,0.15,0.0,-0.0001627444668794207,0.05,0.0,-0.00019674969625487534,2,5,3
1.049857386778424,0.1499820695049226,-0.0018771539432114463,0.040625474706895134,-0.14998377320698958,2.4478675402984065e-05,2.0168655575806023,0.15002097646420381,3.448257701085539e-05,1.009231912071529,0.2999658427119122,-0.0019016326186144304,-0.9670081708021783,-3.8906959281215237e-05,-0.0019116365202223016,1.0528668287762808,0.9670081715848767,0.15,0.0,0.00016402084767100334,0.15,0.0,-8.394450388776317e-05,0.05,0.0,-0.00017556892368556106,5,5,3
1.0700503304849267,0.14973042859849187,-0.04387311232289973,0.07042090992016227,-0.14998209698167758,5.088176727566292e-05,2.0252814553069722,0.15002200662675083,-0.00011580716934376893,0.9996294205647644,0.2997125255801695,-0.04392399409017539,-0.9552311248220455,-0.0002915780282589653,-0.043757305153555956,1.043593108662706,0.9552311693231837,0.1,0.0,-0.6,0.15,0.0,-0.00010374968558742244,0.05,0.0,5.678819565966936e-05,2,5,3
1.089361444841551,0.1480613070183614,-0.0996083184761057,0.10545342413205888,-0.14997520584166424,0.00015203518170991452,2.0371571465881786,0.15001815643717864,-0.00020328858281399277,0.9839080207094921,0.29803651286002564,-0.09976035365781562,-0.9477957017466276,-0.0019568494188172414,-0.09940502989329171,1.0280567864735073,0.9477977218315258,0.05,0.0,0.06670823958086551,0.15,0.0,-0.0002616062658999254,0.05,0.0,0.0002444114170327301,7,5,3
1.0994931208628058,0.14705643778698613,-0.10375817808969282,0.13557851428854198,-0.14997262396879693,2.3544585944587233e-05,2.047232550811647,0.15001579217661576,-0.0002383204487419053,0.9639146065742639,0.29702906175578303,-0.1037817226756374,-0.9477394299488413,-0.0029593543896296315,-0.10351985764095091,1.008641478571419,0.9477440502889787,0.2,0.0,-0.6,0.15,0.0,-0.00015136867169034425,0.05,0.0,0.00030484008444226667,0,5,3
1.1293992210275559,0.14342724366691767,-0.1503128630348586,0.16544691466441097,-0.1499730697310514,1.7519866439017385e-05,2.056689895144444,0.15000664964686947,-0.00037632882678949515,0.9639523063631449,0.29340031339796907,-0.15033038290129763,-0.927290674116888,-0.006579405979951797,-0.1499365342080691,1.0076149030482096,0.9273140152543806,0.1,0.0,0.16544882632367366,0.15,0.0,-0.00012150215693365631,0.05,0.0,0.0005423277506229657,6,5,3
1.153154596424326,0.13916268458214104,-0.22069632940921652,0.19023684857134235,-0.14996812099755458,9.365340467428262e-05,2.0665312373930442,0.15000338286293313,-0.00033379788617021386,0.9629177478529836,0.2891308055796956,-0.2207899828138908,-0.9133766409687183,-0.010840698280792094,-0.2203625315230463,1.0053890848151406,0.913440971823858,0.05,0.0,-0.6,0.15,0.0,-0.0002033029257634411,0.05,0.0,0.0004894206194786726,7,5,3
1.1652858952660337,0.13595698366484713,-0.3192908104179656,0.22538485718814535,-0.1499610373560504,8.306473976855115e-05,2.074688039066624,0.15000263343178738,-0.00018439813022668624,0.9399010380778883,0.28591802102089753,-0.31937387515773413,-0.9094021438005901,-0.014045649766940255,-0.3191064122877389,0.9824271352748754,0.90951060435076,0.05,0.0,-0.6,0.15,0.0,-0.00032708639752083383,0.05,0.0,0.00026781908938230313,3,5,3
1.1769785021703338,0.13133889585433614,-0.4266393354892634,0.25038302518018896,-0.1499622118589007,1.220153263969028e-05,2.084556430048195,0.1500056384135113,-6.808194139111399e-05,0.9265954769901449,0.28130110771323685,-0.4266515370219031,-0.9075779278778611,-0.018666742559175165,-0.4265712535478723,0.9683540112888923,0.9077698730674215,0.15,0.0,0.6,0.15,0.0,-0.00013648712525406276,0.05,0.0,8.332820038451474e-05,1,5,3
